Block: 479
Row Block TimeStamp DocumentTimestamp TraceOriginalId DocumentHash ContentHash PdfDocumentHash PdfContentHash Type DocumentVersion OwnerKey VersionKey OwnerSignature OwnerSignedData VersionSignature LedgerSignature LedgerSeal
7674 479 2021-12-18T12:20:29.707Z 2021-12-18T12:20:29.363Z 57113031189bf50b9bae62fd3cd8b1e826c429ebb9f0137be9a5e5f16710b2dd 57113031189bf50b9bae62fd3cd8b1e826c429ebb9f0137be9a5e5f16710b2dd 57113031189bf50b9bae62fd3cd8b1e826c429ebb9f0137be9a5e5f16710b2dd 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 470 03ec1cfa1c2b6832a64706159d100135f7bddfad4aa5ea0590fab5e917beb09885 03053ac94b2a29cdd491b6f9d90a0a0750abdbfb5aedf60295ff8ebd00ae756891 jY9/Mg8LhH6G3zldcc6F7/PIVUhH5NlIh7MdP98fD/JjzqP3x5EwND6ILJ9OrjQkLPXEjQ5a4D/qqyb7xHindw== 57113031189bf50b9bae62fd3cd8b1e826c429ebb9f0137be9a5e5f16710b2dd 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 PMyp4afa6FtwgRYt701TTWBQrdjh5eG0HKFdSuVg/GFj4fvFFDZK6hG4sADHYSo4Y8fv1/+kYrnlARGcMFI0bw== zOhVljGXhXih9CGypNlUWn5IBEylLW8AUbQEkTebfVQn5PVJox3pnDe5HJOIzZgcsnFMaDcObdBSFSKJjDvdww==
7675 479 2021-12-18T12:20:58.381Z 2021-12-18T12:20:58.045Z ed936094984efb1839f0e05cb7cf0bf89b9426f1b1800f501fb4e19d7bf51e33 ed936094984efb1839f0e05cb7cf0bf89b9426f1b1800f501fb4e19d7bf51e33 ed936094984efb1839f0e05cb7cf0bf89b9426f1b1800f501fb4e19d7bf51e33 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 478 039778ec9b71fd2d57ac4548c2d3ff193ee4970f37688a60c4934f20fa67c89605 027a0a00b59bc1206e8cdc64ebfb23de7cbb75d3c660882156950f0d69d2908852 ys9De5belCpp35BUVHL0RXeNVfXsuiJsTd5//2gRrpyCzYFgG8lS77qoSGNIYyjgiljkF5gz96or6RsOkeqQow== ed936094984efb1839f0e05cb7cf0bf89b9426f1b1800f501fb4e19d7bf51e33 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 TP8ujW7KM0oqTc+qTKlVZcSPz6iTWmC1XYX7BwUedsU6HaVEB53+ZOtI1S+TxXCewSl/GF63vF3z9lW7WpgQIQ== iCVNMjdrhm0hvKC26LV0rmGzVj2kzSvJXssUsQTVnsLdVPzJnflojU6NrabEy8zchSAixAC1qdo5TnM4w6Wq4Q==
7676 479 2021-12-18T12:21:00.999Z 2021-12-18T12:21:00.699Z 16a6a3ab7f038fd1ba2be2fa5b58e29f6c3f303f2b59b0e83d76b0c06cb6d859 16a6a3ab7f038fd1ba2be2fa5b58e29f6c3f303f2b59b0e83d76b0c06cb6d859 16a6a3ab7f038fd1ba2be2fa5b58e29f6c3f303f2b59b0e83d76b0c06cb6d859 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 471 03ec1cfa1c2b6832a64706159d100135f7bddfad4aa5ea0590fab5e917beb09885 031638f81344fb65d4669da62116342b3363d50f23f406e26063c3d718780e8209 AqEMo0Zab3GNKrGRSjHZNCtu9DRKpast1GyThTm0lpKwPzK/bfcZribV8azGPO0RFeJkC0AOpSBFTtub8VOZFQ== 16a6a3ab7f038fd1ba2be2fa5b58e29f6c3f303f2b59b0e83d76b0c06cb6d859 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 WWAy7+PrnlxQP8uwTuvDbGohT2e8k15VHnphzWYsYE30m6j9SgLvRdCOnGYpzpzaIOpDpegS24D2JlAZkUNd0w== lJQOr4qQ1892VvuaKg0zgXZVr8eGRjnc0tToJvYJLhXfnMNqr7CFGhoTn7guDr3BjUizCOCagzvQbmIsYynkCA==
7677 479 2021-12-18T12:21:29.786Z 2021-12-18T12:21:29.473Z 290630f534ff1309c6c8bb201c706a5a89ca152bfac412ad10f731029e4602f7 290630f534ff1309c6c8bb201c706a5a89ca152bfac412ad10f731029e4602f7 290630f534ff1309c6c8bb201c706a5a89ca152bfac412ad10f731029e4602f7 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 472 03ec1cfa1c2b6832a64706159d100135f7bddfad4aa5ea0590fab5e917beb09885 034a5032abdec7aad836e833eba77019a87bdc747c5383ed1a817f681e12ad7ebf TjHMEI6fwJDR9bPQvHJVu9wj/ESSQX6V9OSuYMEwrBdyFDjEQ0Dn4X+sIqOn0xapXUE1RZR+D6MtR86PuE/XUg== 290630f534ff1309c6c8bb201c706a5a89ca152bfac412ad10f731029e4602f7 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ZdOWns5aPUKGXexO9l1qg99efccQOg8k8EtpjyQiyG9Yd9Q4zwuh+zour2gdpBoBvtS7XrkFa9e7B407JvFOFg== Y8xHekM/xUH30y6+uHPxxtlHOSuZmJ/WI7D7BtToV4yHGA6nVvOQ+ZzAJyuTHNSFLWX1Uhu+Ktvr5ZYkk5nEFg==
7678 479 2021-12-18T12:21:59.541Z 2021-12-18T12:21:59.239Z 792f01fc2f007d86d6dadfca9dcb051a71a8a2ccafbb956776c054b250d2f73a 792f01fc2f007d86d6dadfca9dcb051a71a8a2ccafbb956776c054b250d2f73a 792f01fc2f007d86d6dadfca9dcb051a71a8a2ccafbb956776c054b250d2f73a 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 473 03ec1cfa1c2b6832a64706159d100135f7bddfad4aa5ea0590fab5e917beb09885 03abdd435db27dc19bb5093ac6e717a6137141187b71545c1dcafa09b5be79877d F1oe0VhzKKuw4i7jMyj/NlQaS2c1waO6XYxHvjbLQ7BFMiXYz6ZHutRYf0YqVvPtInAn91FwnUYfa2xJ6tANIg== 792f01fc2f007d86d6dadfca9dcb051a71a8a2ccafbb956776c054b250d2f73a 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 3fE9xYGNfVZuObW88ze9smO6arjLK1/XA/UlL2tp1AYrTnlJOsUKoQsLVZXVF8Etjk4acqUQ3GfnntQdO49x1Q== p2398GItLs1Ff2qMvkXfnVehUOxwWVGyE6R3S1sBMwlHL15xZHE29dNOhN3Hr9TDxeKGKcwXPV9j7OOure1SkA==
7679 479 2021-12-18T12:22:29.429Z 2021-12-18T12:22:29.129Z fe89ab0634cb385b297a239b96425739e53a30189433e14434989749c4918950 fe89ab0634cb385b297a239b96425739e53a30189433e14434989749c4918950 fe89ab0634cb385b297a239b96425739e53a30189433e14434989749c4918950 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 474 03ec1cfa1c2b6832a64706159d100135f7bddfad4aa5ea0590fab5e917beb09885 03e41243ddb88595672f31bff3b5ba29ae2df10ba2fec0fa67bd1972219cce1145 PLSubtGRswcTHMjjrqsA5rNzQnEhDHh65Fo2H/iW1a8fDCMMKRVuudUAauDXOVB3YOZe+WD/VuHJ4qto5lVreQ== fe89ab0634cb385b297a239b96425739e53a30189433e14434989749c4918950 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 xT+BhmGUDY4yK4jsEEpaBVwX+pcgsIBhUuuj6KvDR2ymPkTPDUPhduYmKsrOmeDFBL8q4Q3ptcZhowM77roUGw== 3si8j0P1bYw8tvqv9aGr3jufpv/7wmMLxurz0JnQMEA8mFFoJDEX117IB2BhiPkbelXnudp8gjNkVS51xRB84w==
7680 479 2021-12-18T12:23:00.808Z 2021-12-18T12:23:00.486Z ccc0b970e45008e5b8c26283d6163cb3c9bdb46fe709f1136896366a433b5ed2 ccc0b970e45008e5b8c26283d6163cb3c9bdb46fe709f1136896366a433b5ed2 ccc0b970e45008e5b8c26283d6163cb3c9bdb46fe709f1136896366a433b5ed2 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 475 03ec1cfa1c2b6832a64706159d100135f7bddfad4aa5ea0590fab5e917beb09885 03ddb5a3443a56aaec08097a866f2f3cfd5c28c5f12f9aaf5efa3a60cd98a05544 svUb0WKKfl6BuhsQ/g4kN8YfgseaT4+Nw7mKXJhG9fiQl0d5wfox84VmyCzZtw4MJw1KTa44BH9jD9scwl5Pxg== ccc0b970e45008e5b8c26283d6163cb3c9bdb46fe709f1136896366a433b5ed2 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 Km2oNB+oCnBNRTNwzlaJc6wjxVDRphPHDWGqd3w5+Cn2SVIVUBxmiE9mEuOFjTa2k6WvbfmkWn+r5cpSn0WSXQ== S3NZtpjb3ZwL3c8ruv5ysERkklXcs2tbdU+e108BtqtabDiOascFQpsltfmorlc2YeBrHIoIdMJjQQscARAqFw==
7681 479 2021-12-18T12:23:29.907Z 2021-12-18T12:23:29.592Z 14218a7da99d494a0a611aceb2676463ba3cdfb868473e43a9ca2c726d370659 14218a7da99d494a0a611aceb2676463ba3cdfb868473e43a9ca2c726d370659 14218a7da99d494a0a611aceb2676463ba3cdfb868473e43a9ca2c726d370659 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 476 03ec1cfa1c2b6832a64706159d100135f7bddfad4aa5ea0590fab5e917beb09885 024944acc78b6222265061237537f70fe0902c8daf7a76cb47acc6ebb76416adf1 7nluff8kcx0ZX4wynetpjPLbQxlCUvVRhbMiSoyqe4egmDIQ2VdyqBl+lEWdnIYGah5Go5nUOlj787NuGXqdvQ== 14218a7da99d494a0a611aceb2676463ba3cdfb868473e43a9ca2c726d370659 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 8mzyVqIU1abCHET1knRldiSKYFSrlOi3tXazT8LqTrz/ydgme4dN2YiBIorqUc+7RAc362P3ZY7LFJJZ85E8kA== f6jVurBLH3tIovUGZIY64m1v80D9ORQM9x0JN0Yh7UqtVBPWJQ3iLmqH35p8MfEPbyqpoTMVqyKMQRe3hfrOvA==
7682 479 2021-12-18T12:23:59.419Z 2021-12-18T12:23:59.117Z c0a3710a34cc67d0c08fece9ffec08398bc332a9868505b41e18687ff5f0316b c0a3710a34cc67d0c08fece9ffec08398bc332a9868505b41e18687ff5f0316b c0a3710a34cc67d0c08fece9ffec08398bc332a9868505b41e18687ff5f0316b 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 477 03ec1cfa1c2b6832a64706159d100135f7bddfad4aa5ea0590fab5e917beb09885 024e79d2f71ce2b44549d1525ee124fd693419bf51d2222e75bbf52525c5208fe4 yaMKWFFYFlKM6SLwVF8IjRZrztyl4bfU2lWYU/CMVur7VZG/n8VsIiNgwBfj02xWDVD7DtyhRBhZyRSa8re/2g== c0a3710a34cc67d0c08fece9ffec08398bc332a9868505b41e18687ff5f0316b 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 IaKzVsFA5NKOB1cLnMLZvXeJGXHTcj+svDg9Q27Q+FFkFXMUknmy2Mx1kc4EOI20AhXF3C9JhG1hWgZex/UKwA== RhRlFYog5rFLA9ShsDGHAFhdNTshGnRKejxnBfcVhXYJixxAiFJArIOMq6MuRUfHV891oCuCbYkTSmW7r7KS0g==
7683 479 2021-12-18T12:24:29.331Z 2021-12-18T12:24:29.020Z e06d9ef2f221e8f886c1cdc382d59613db74a162f55074b973afa5601a6899f2 e06d9ef2f221e8f886c1cdc382d59613db74a162f55074b973afa5601a6899f2 e06d9ef2f221e8f886c1cdc382d59613db74a162f55074b973afa5601a6899f2 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 478 03ec1cfa1c2b6832a64706159d100135f7bddfad4aa5ea0590fab5e917beb09885 0356f90c6f5ac8c6dc0964c62abe3d2888b9cb34ec165ff556f320e26eaa53eea1 hwlXZDO9ycdW/NKZ5YSlfZr/ofPXNXTFPxyMyJsjh2yTS3e1EPfVEJUeHzf4XnsKq6FqDhO9cmbNlGR+dLTN7A== e06d9ef2f221e8f886c1cdc382d59613db74a162f55074b973afa5601a6899f2 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 wsBBwyLOhVZ5FxGzy6rAFlN60CCMCp8hNDUPrNQQJGojuEBfL5CwIc+OU4RF4S3QgBGJ4WjBG7gMLrkaCN7SAg== bf5ctGlw764LcJLODQScagjfVwnXFKRWKKNpJRs5qNqKRxroFeWluSouoXT3cW2DQJwA9rHA2WQGl4FwciLl0w==
7684 479 2021-12-20T12:47:02.068Z 2021-12-20T12:47:02.068Z ce04d84d0cb34d2fa681df11b3456424fea67355065385f261b0d48f53843bc5 ce04d84d0cb34d2fa681df11b3456424fea67355065385f261b0d48f53843bc5 ce04d84d0cb34d2fa681df11b3456424fea67355065385f261b0d48f53843bc5 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 BLK 1 02b9bc72e1a6fb87de88772d68e550afe3e0709d40f5e80a08a84987ddaa985786 02b9bc72e1a6fb87de88772d68e550afe3e0709d40f5e80a08a84987ddaa985786 o0bFE/f7sfT2VhwU1bXxFbKs7MhFKuAZ3DWqxsWq9nMiuOHWq/cg7hiulg3gUNAywbHOL12Aro0c0Sg2BnAjeQ== ce04d84d0cb34d2fa681df11b3456424fea67355065385f261b0d48f53843bc5 KSvjw2Nglj1joG5eTNbeMakNTUbDydnYfGAUL0x/JnbInE32rr8DnGwxmL9JnNUG2M/L0OAyNU5qEyv1nyKGPQ== B+6kVQMTRj1rfsh395A/j45MgNMzv6WhglM8AtccpDdSGaQ6/W9CY8Bg3lNSEq8QuoWTtg4DQjiLsm5EFBtF4A== +Xz+InT508lEkSVCOdh9CPJLMadjCAbqdK+3YSIhC3vKWOrzEtheKIiWKCyPq38w31enMa8f/cNI7YapSb0u/g==
