Block: 611
Row Block TimeStamp DocumentTimestamp TraceOriginalId DocumentHash ContentHash PdfDocumentHash PdfContentHash Type DocumentVersion OwnerKey VersionKey OwnerSignature OwnerSignedData VersionSignature LedgerSignature LedgerSeal
8670 611 2022-01-18T08:15:14.042Z 2022-01-18T08:15:13.718Z e72ff16fe5ec226a260bee2352e83025346349611ed3494c244548d28f420e0c e72ff16fe5ec226a260bee2352e83025346349611ed3494c244548d28f420e0c e72ff16fe5ec226a260bee2352e83025346349611ed3494c244548d28f420e0c 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 587 02a5c226e19e165640266c37430dc68557c0da20a7b0e9fa4fc3860eac8c2cc1fe 02bfe145be44f255c4e828589c974097a3d04ad7603bb6e4e6df2857010d8c3546 maopVSE16uFIF+wtqMEhHNstalojlxvtBmbhMrSqiCDM927bXVRkRGT2dSzMVRnd5M2O1UbSrOkHBIYQb1tcSQ== e72ff16fe5ec226a260bee2352e83025346349611ed3494c244548d28f420e0c 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 2kI6h4AnMIjfOw9yFz/XLV0cTiCq/HV2zbL2vsRvV5m2FSnrLmhOkt8bIs548ZX+GD5roa3Jidhwbapy//lsFQ== ckzmF7Amwld/H/uU0YMukaYj7a1H9tFxfwxdUja4Tq0DVCz8rFosyUV12prsE8zEHwZxDDbGunx0dE0Q7ZEotw==
8671 611 2022-01-18T08:15:26.828Z 2022-01-18T08:15:26.299Z b18286f54caa41eea410c43ca607b14043b62825a618a524a109bf5256badf3e b18286f54caa41eea410c43ca607b14043b62825a618a524a109bf5256badf3e b18286f54caa41eea410c43ca607b14043b62825a618a524a109bf5256badf3e 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 610 0208b3ebfe65c9211cbee86c16e374fc8db82224a8ddd3cd4aaaba6b8b9839a56f 03a1ad8295ff2ca45e88330273a4bf7d4df9a0055af1e819e425c1cff2633b0bc8 pgu3VeuRwXIRJqw3Hhyl12ld5cvt005eQKrnSbylzUK5zTuwRdOdkmWyX/yAOA7eygUnX4nySFARu8gJ1/zo2A== b18286f54caa41eea410c43ca607b14043b62825a618a524a109bf5256badf3e 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 VGHyNY3Uy2APTZE+mlXmfquVGp4MpO/cg1KFGdjUEYBL93h+4xRr6R4Q6KNB6lawahkLn6RtJ96DJQ2HU9Ld3A== ipBwnE66HZYKa8au3gG08x6s4U6gmAke1a+Sk2a0Y5xx+DsSxfPscb6Kppr+w8pVqTgynCcyuRnXEKaZD4+ttQ==
8672 611 2022-01-18T08:15:26.853Z 2022-01-18T08:15:26.431Z 1777154692a0ce151685661bbd12dc93208ad336a4ffa17d03f226c6388f08c2 1777154692a0ce151685661bbd12dc93208ad336a4ffa17d03f226c6388f08c2 1777154692a0ce151685661bbd12dc93208ad336a4ffa17d03f226c6388f08c2 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 610 03f81a95573e9d19a5c9b6c13e034b57c34101a05f29816cb60b077e408a0091a6 026ae2612953bc6a6329dad8df6f65a5179172b1c1e99868090a69ee9b86a607bd qz+1AfSlmLcrl0GUrypfp6Kul/vB7zD0TCPSkc+WetXeyWZYVTEMni/DHF0cRRwI2KlMaazKAip222mQDIFYBw== 1777154692a0ce151685661bbd12dc93208ad336a4ffa17d03f226c6388f08c2 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 C3+RNtYZ0/Ab62g46iOdbgn6kFIgwPwvGD2CU38IYSIJnR1KP1C2qBBQuzaXRp4Tz4S1ASJXlgwE3mNoe2jmDw== svC4o1EO3jZRsWHCGFikNBxQjKznkpqI4DYs4aJM5eArA5Ql2gwTwo00S7Yh7YMEx2LFBIQpUaqkltxP6Vre/A==
8673 611 2022-01-18T08:15:44.127Z 2022-01-18T08:15:43.763Z 1704cad6c1fe0b8ebae666aa63ef24d34e5469c6ebb1da53be4a513a291157f5 1704cad6c1fe0b8ebae666aa63ef24d34e5469c6ebb1da53be4a513a291157f5 1704cad6c1fe0b8ebae666aa63ef24d34e5469c6ebb1da53be4a513a291157f5 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 588 02a5c226e19e165640266c37430dc68557c0da20a7b0e9fa4fc3860eac8c2cc1fe 02ff98ea2c4e4102d92ef7c72a6d462139ba5fcca7e483c8359a694b350b3c521c ZeD5t8ZtH7Q3KoAA/gE2mH7wrx0NccwClFJMSHeLw1Qudb5NT2/qlcw8KsXXqyCWKtqRMgvwSxLY8hAqE3SG2Q== 1704cad6c1fe0b8ebae666aa63ef24d34e5469c6ebb1da53be4a513a291157f5 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 dw51bcB57XvQ3I5Gmal6O+5MSISD7tN8Tvw9LxkR5fpiIdNup/IQ0MWHLp762yOv5BOZolwjYvqsdogiRvsqAA== latVT7UZb9CKcH4QlbQAgCHWtpH65nTWA/uvm/bkWu0b+PhMaDPkpjvUf12MnVVZ6OhykoSpkk/UdbrhSS4NhQ==
8674 611 2022-01-18T08:16:04.524Z 2022-01-18T08:16:03.703Z 70e203080a26d98d2508b17e67fd43d741f3493def1080b7179e1e39b81a45de 70e203080a26d98d2508b17e67fd43d741f3493def1080b7179e1e39b81a45de 70e203080a26d98d2508b17e67fd43d741f3493def1080b7179e1e39b81a45de 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 604 03ec1cfa1c2b6832a64706159d100135f7bddfad4aa5ea0590fab5e917beb09885 024e8c79b6d5b1ae226f577efc943a937526971453f6bf18b4dc07164f1d8ddce7 3N0xaLuZUl0SVbX7tdK96BRueBPhJv5E420bjmqGYWxH8+2p16f2KygWQZJUOHK8yqUO6EhCPZS4FRZycTGSOg== 70e203080a26d98d2508b17e67fd43d741f3493def1080b7179e1e39b81a45de 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 +jfYb4YmaizTf7BXzQD5yururjcekwNvMGSmXo4sRNKOb+5Xn7cY8N9YzW7zcNLoEiZYPWMUp6XKBW3KKQDrQg== WTFQUTgAvYIvL1gk2Pq6cB3JY5blAomVqLR4h1GsoBrYdWpKvOhaC1eOZgam9fjYkD+Uw7RlEa5m4/CupUut+w==
8675 611 2022-01-18T08:16:13.986Z 2022-01-18T08:16:13.629Z e3001fed4d6bf6aef422d3d08aa330396be3eb501ad4c4a2dc71a7dbee3afe5b e3001fed4d6bf6aef422d3d08aa330396be3eb501ad4c4a2dc71a7dbee3afe5b e3001fed4d6bf6aef422d3d08aa330396be3eb501ad4c4a2dc71a7dbee3afe5b 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 589 02a5c226e19e165640266c37430dc68557c0da20a7b0e9fa4fc3860eac8c2cc1fe 03ba3b3f7d128ec13ece5d92db301bcf4e820d53d0896b363d699fe6de4c1d1778 4m3ZOkXKjY9ClFP3EUBB8WJnfdXxPJmbhyxrVX7tJY4tPS77H4vAbodmnJaz51jt5VBjYZKlWCB+ken85siY8Q== e3001fed4d6bf6aef422d3d08aa330396be3eb501ad4c4a2dc71a7dbee3afe5b 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 l7Pqwdce1I71b/TxNerjXO5+X3jePhFtfrTcjFJgc22MG2JWJJOwmD6zafS95FOWRJiz6WSyC2/Q5TOTf+2dPA== jthI6WJ3j2Qrr4xhtFrYDsu/bcsHFkrpmrYlnLLQAtss7ep85KHLQkBMlkHftl74arrsbWO9UlfYYRtpvQ5glQ==
8676 611 2022-01-18T08:16:17.002Z 2022-01-18T08:16:16.692Z 33f2a7cbf46a2728d3963ad3e21f65f9c38c1c9f325b5c3b7e4e6bcc73839d58 33f2a7cbf46a2728d3963ad3e21f65f9c38c1c9f325b5c3b7e4e6bcc73839d58 33f2a7cbf46a2728d3963ad3e21f65f9c38c1c9f325b5c3b7e4e6bcc73839d58 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 605 03ec1cfa1c2b6832a64706159d100135f7bddfad4aa5ea0590fab5e917beb09885 03b8f4f135aa9c53d3ec493f7c5cb2c8c1c563f643f1c137e20fd07b8a3975aec8 9XrxpSIURFMCuEYDEo64fvM3altistAyjcEDrUhvF3xB7f5S3Ax0/OGkmCSiJs0OEvRZJRCyhjeUe0iNaUwzVg== 33f2a7cbf46a2728d3963ad3e21f65f9c38c1c9f325b5c3b7e4e6bcc73839d58 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 p91R/zAFkWc5cRBkFRnut+F+y8fjh9sG7EtllG85/NyM3DLoM36oXlfZDieRRpCcw3jgBH0FYwyHOvwBR4uvwQ== X+VraIID3q8Fm2GJqKZpcw9DtkkGDW2mOZsZHo4MWKzpyRth3jdSn4vlxwzJoEPF1u7VbBV+RHERSX6ZofMSEw==
8677 611 2022-01-18T08:16:43.938Z 2022-01-18T08:16:43.592Z b0ef8d79c6e25ac601cbc9e7926229c6d389ba27749498d168fd20d6ed93525d b0ef8d79c6e25ac601cbc9e7926229c6d389ba27749498d168fd20d6ed93525d b0ef8d79c6e25ac601cbc9e7926229c6d389ba27749498d168fd20d6ed93525d 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 590 02a5c226e19e165640266c37430dc68557c0da20a7b0e9fa4fc3860eac8c2cc1fe 0384762e610683541f9a84dbad8723ace543aa87b580bc261f8b1621435e14a1ae JUI5YTnsxgYMx7Uj+h5jXRhdrKDe4NULrZdib+mGTwp+pRBmDCBeZnp+RI4rZIfIP9p57nYHQbW6Pl/OJwmBdQ== b0ef8d79c6e25ac601cbc9e7926229c6d389ba27749498d168fd20d6ed93525d 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 6BLWh4SlHYlnEFlCw4h/YzsKJASio7GgWzX/BeBHv34yB8a42G8xO93VOqU2S8OHHBQ11rhTodNlk9LDpp0VGw== KnpiOzaf06KfNImop0JKUGjwnVO6/Q+tvevUhOpYIEvODH789r9ET5C0Hdl0L5hNbX1gLpielO5MCn/XNxWZbA==
8678 611 2022-01-18T08:16:45.259Z 2022-01-18T08:16:44.947Z ff72f90d8abff2a4b5a8cd22db405df56b676a583ca317a2b63d066127d71191 ff72f90d8abff2a4b5a8cd22db405df56b676a583ca317a2b63d066127d71191 ff72f90d8abff2a4b5a8cd22db405df56b676a583ca317a2b63d066127d71191 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 606 03ec1cfa1c2b6832a64706159d100135f7bddfad4aa5ea0590fab5e917beb09885 02b3cc0f9f773e05ad1c333ffa8650e940c69da7a36cc2e7c9dfb5b4f65d66cbe9 Iu0f5ZDj4d/U9i25xLBXMKDsp0SSXTEPmAJ21fSVYJmgj+JwbtgFhq1ixs75cOlEaO9v1YbRD6pPUag3wZeGpw== ff72f90d8abff2a4b5a8cd22db405df56b676a583ca317a2b63d066127d71191 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 v9I3HSUBNuJMLe7fMvo3jPplLyb5K3X+hewSKvMnu8KzpLjwCejVZ0v3A8UgWRudD6kUW6aw3+H1tsrTFNMp6A== 2uX9kqKK0nEvMtx6vI2z02xcY9Dtlitu8NEdLNRItAv711S9roVU82MHwKSw1Wsi+HmhZSzlWgwf7WbQJlg9Lg==
8679 611 2022-01-18T08:17:13.908Z 2022-01-18T08:17:13.548Z 05541c5d28d96cc1cdcec56659af4aec0ca3212e4eca4342a8ba1c0d549fbad6 05541c5d28d96cc1cdcec56659af4aec0ca3212e4eca4342a8ba1c0d549fbad6 05541c5d28d96cc1cdcec56659af4aec0ca3212e4eca4342a8ba1c0d549fbad6 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 591 02a5c226e19e165640266c37430dc68557c0da20a7b0e9fa4fc3860eac8c2cc1fe 025c519bbf79a0795449e49632b74975ec7042bc566571982f05c1f3b22f905b8b wBQ4QLJLsGynsoT9/JhMr/ikDGjBYjiyw3VC1vW5FF8HR56L6ICN0JCVpVpqdTRq9NZOnMY9i9tmYb042RJGew== 05541c5d28d96cc1cdcec56659af4aec0ca3212e4eca4342a8ba1c0d549fbad6 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 P+J8INgCfzW9HCdyoekU36MpqLKjXSKKhU4CPr+Tt+d7uG2x9B5BxC8mesX0vUJLnACN+qNWeM7nQwhDKLcnKw== eOIzNd5u1baW4FggLe608jICJyrEuGvwbXS9hfR/0r8vS/M+VzQuKtPapP6AlSdYn2KDenuXon6T/c/tieJOhw==
